chain,id,title,type_or_category,cross_block,code_class
ETH,F04-01,F04-01-dssflash-psm-curve-3pool-depeg,Depeg arbitrage,no,code-invisible
ETH,F05-04,F05-04-crvusd-peg-flashmint-arb,Depeg arbitrage,no,code-invisible
ETH,F08-02,F08-02-usde-usdt-balancer-flash-curve-peg-arb,Depeg arbitrage,no,code-invisible
ETH,F08-06,F08-06-susde-cooldown-curve-arb,Depeg arbitrage,no,code-invisible
ETH,F08-09,F08-09-ethena-mint-curve-balancer-arb,Depeg arbitrage,no,code-invisible
ETH,F13-07,F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,Depeg arbitrage,no,code-invisible
ETH,F14-02,F14-02-susd-3pool-depeg-atomic,Depeg arbitrage,no,code-invisible
ETH,F14-06,F14-06-susd-deep-depeg-sbtc-backstop,Depeg arbitrage,no,code-invisible
ETH,F17-03,F17-03-oeth-curve-depeg-redeem-arb,Depeg arbitrage,no,code-invisible
ETH,F18-01,F18-01-dssflash-crvusd-pegkeeper-arb,Depeg arbitrage,no,code-invisible
ETH,F14-07,F14-07-synthetix-v3-vault-research-probe,Vault deposit yield,yes,code-invisible
